episode,reward,running_avg,steps
0,-91.4708546468326,-91.4708546468326,64
1,-83.7232123057344,-83.7232123057344,84
2,-86.25407862311384,-86.25407862311384,64
3,-105.84812562864941,-105.84812562864941,63
4,-350.0045011368303,-350.0045011368303,123
5,-180.49303277951807,-180.49303277951807,68
6,-222.22435242396443,-222.22435242396443,125
7,-416.00457618366346,-416.00457618366346,94
8,-418.88033868045915,-418.88033868045915,128
9,-134.38430402363718,-134.38430402363718,164
10,-140.88980954350393,-140.88980954350393,111
11,38.38523513837063,38.38523513837063,78
12,-115.05287831497645,-115.05287831497645,132
13,-171.44755845521735,-171.44755845521735,91
14,-194.09711247252014,-194.09711247252014,74
15,-38.80090824487006,-38.80090824487006,69
16,-197.58150942776268,-197.58150942776268,58
17,-334.36694172832347,-334.36694172832347,75
18,-243.90127164839504,-243.90127164839504,76
19,-263.29214719405434,-263.29214719405434,97
20,-99.28317913275657,-99.28317913275657,61
21,-218.43822219417123,-218.43822219417123,122
22,-345.7460650622709,-345.7460650622709,110
23,-85.04085900093472,-85.04085900093472,60
24,-183.1053686609409,-183.1053686609409,109
25,-165.48501638088183,-165.48501638088183,81
26,-159.46066246822298,-159.46066246822298,102
27,-67.86261052172637,-67.86261052172637,85
28,-92.63773582709936,-92.63773582709936,83
29,-194.71835027589924,-194.71835027589924,62
30,-124.18852053152,-124.18852053152,90
31,-165.70769270788094,-165.70769270788094,104
32,-75.39277341964701,-75.39277341964701,115
33,-97.81640085857173,-97.81640085857173,89
34,-118.905133737216,-118.905133737216,87
35,-88.41549962965217,-88.41549962965217,99
36,-270.570979824991,-270.570979824991,122
37,-74.39393315814492,-74.39393315814492,78
38,-183.47239980841448,-183.47239980841448,130
39,-43.416750624055894,-43.416750624055894,124
40,-242.32624670360354,-242.32624670360354,93
41,-101.59591162091779,-101.59591162091779,92
42,-187.0811533904892,-187.0811533904892,63
43,-178.78027609370912,-178.78027609370912,113
44,-98.72781425040277,-98.72781425040277,73
45,-190.12673375987004,-190.12673375987004,124
46,-114.52359635270929,-114.52359635270929,70
47,-68.4215929202746,-68.4215929202746,71
48,-387.43296853704754,-387.43296853704754,104
49,-90.50154815426545,-165.2781654786389,96
50,-78.13918266136287,-165.0115320389295,69
51,-137.76978664296098,-166.09246352567402,62
52,-171.78377709075258,-167.8030574950268,76
53,-210.67218496907847,-169.89953868183537,84
54,-139.61456050244476,-165.69173986914763,83
55,-153.14285544141387,-165.1447363223855,121
56,-96.03872468499051,-162.62102376760603,83
57,-102.71759196898408,-156.35528408331245,74
58,-114.63362306039626,-150.27034977091122,112
59,-100.55029345208936,-149.59366955948025,82
60,-111.22878898176097,-149.0004491482454,81
61,-177.16098724342856,-153.31137359588138,115
62,-130.1339427132513,-153.61299488384688,97
63,-381.03303769803045,-157.80470446870314,90
64,-112.25075258714293,-156.1677772709956,101
65,-147.60598834515426,-158.3438788730013,108
66,-96.75661509810966,-156.32738098640826,102
67,-80.00753359770712,-151.24019282379592,62
68,-138.752560343035,-149.1372185976887,112
69,-206.16833477129302,-147.9947423492335,101
70,-253.3919967712533,-151.07691870200344,110
71,-110.31768566684245,-148.91450797145686,112
72,-1.0912068120284175,-142.021410806452,83
73,-112.4776451442877,-142.57014652931906,114
74,-311.42587721164176,-145.13655670033307,107
75,-100.64082405957156,-143.83967285390688,112
76,-84.52867567329534,-142.3410331180083,98
77,-203.48748691091157,-145.05353064579202,132
78,-302.35214564098044,-149.24781884206968,144
79,-232.0282389244123,-149.99401661503995,93
80,-66.47607741981646,-148.83976775280587,83
81,-129.01943534268113,-148.10600260550189,93
82,-75.78285777516865,-148.1138042926123,109
83,-121.50348243566576,-148.5875459241542,88
84,-110.13771822648559,-148.41219761393958,112
85,-137.83716950645788,-149.40063101147567,106
86,-154.04898349945768,-147.070191084965,140
87,-80.614214015263,-147.19459670210736,77
88,-169.97383536482755,-146.9246254132356,75
89,-113.51774547404614,-148.32664531023536,128
90,-59.50399045732625,-144.67020018530985,88
91,-149.84699230758514,-145.6352217990432,125
92,-87.30578244749115,-143.63971438018328,73
93,-137.20946152588655,-142.80829808882677,72
94,-105.4482214438519,-142.94270623269577,113
95,-126.36017358831417,-141.6673750292647,120
96,-116.4948574946084,-141.70680025210265,122
97,-111.9162106372721,-142.5766926064426,100
98,-130.0828644334807,-137.42969052437132,93
99,-195.9567835640923,-139.53879523256785,103
100,-6.96886011439193,-138.11538878162847,128
101,-76.88535587512278,-136.89770016627168,111
102,-42.67148768579169,-134.31545437817243,87
103,-209.89360323873672,-134.2998827435656,114
104,-100.20902479531381,-133.51177202942296,112
105,38.72701250392915,-129.67437467051607,1000
106,-41.167930449257184,-128.5769587858014,104
107,-76.09607071523666,-128.04452836072647,131
108,-80.47461609137272,-127.361348221346,130
109,-80.10633309777155,-126.95246901425965,98
110,-87.67872333888238,-126.48146770140207,123
111,-114.64977573534541,-125.2312434712404,134
112,-65.00691211487262,-123.92870285927283,86
113,-170.56141248278215,-119.71927035496785,132
114,-65.7659952927489,-118.78957520907997,103
115,-89.0063994009083,-117.61758343019505,78
116,-83.53479179965176,-117.3531469642259,61
117,-44.45182842563382,-116.64203286078444,112
118,-142.57727534804832,-116.71852716088469,118
119,-114.26598402779942,-114.88048014601483,85
120,-406.34142682321664,-117.9394687470541,153
121,-108.49237779158452,-117.90296258954895,129
122,-81.16339598088976,-119.50440637292617,110
123,-51.00676624138671,-118.27498879486814,127
124,-21.0032936552267,-112.46653712373984,102
125,18.877777012777614,-110.07616510229286,100
126,-162.82349216742972,-111.64206143217555,70
127,-84.30690972924234,-109.25844988854215,121
128,-83.56731567460332,-104.88275328921459,91
129,-66.91614503553282,-101.58051141143702,82
130,-69.42946208044066,-101.6395791046495,66
131,-103.45546516947614,-101.12829970118541,71
132,-132.15944954877207,-102.25583153665748,93
133,-79.8746022373856,-101.42325393269188,74
134,-69.16599075226821,-100.60381938320754,67
135,-77.75402534463485,-99.40215649997107,131
136,-99.74521951105496,-98.31608122020302,128
137,-69.17416942676923,-98.08728032843315,164
138,-57.45594802106537,-95.8369225815579,79
139,-98.08032183145284,-95.52817410870603,99
140,-92.08370528677408,-96.17976840529498,108
141,-136.9611441069717,-95.92205144128272,119
142,-62.99360501066047,-95.43580789254611,86
143,-49.602424886966254,-93.6836671597677,170
144,-110.63228897761816,-93.78734851044302,76
145,-48.64324348757308,-92.23300990842822,104
146,-73.38542270440573,-91.37082121262415,81
147,-89.52569438391193,-90.92301088755694,82
148,-48.80839051338984,-89.29752140915512,80
149,-211.795993000002,-89.61430559787331,110
150,-115.47226658584914,-91.78437372730247,122
151,-56.29968047499201,-91.37266021929986,146
152,-63.69933975650423,-91.79321726071412,104
153,-156.4964367994737,-90.72527393192887,91
154,-77.70199801864213,-90.27513339639543,122
155,-90.22650426234145,-92.85420373172084,127
156,-113.61478444213023,-94.3031408115783,116
157,-97.04011348555133,-94.7220216669846,188
158,-106.57564354342358,-95.24404221602562,119
159,-45.00326383227941,-94.54198083071579,157
160,-120.19960720021308,-95.1923985079424,77
161,-24.977079515869008,-93.39894458355288,154
162,-37.39682549038774,-92.84674285106318,95
163,-53.431198335947066,-90.50413856812649,82
164,-12.659397031530304,-89.44200660290213,139
165,-53.9922785174241,-88.74172418523243,89
166,-59.77827561735808,-88.26659386158654,73
167,12.357282673004875,-87.13041163961377,160
168,-80.35971413735065,-85.88606041539983,73
169,-115.28487645778166,-85.90643826399948,110
170,-12.385445854761628,-78.02731864463037,154
171,-79.31031552524439,-77.44367739930357,84
172,-73.39032860400005,-77.28821605176579,97
173,-85.39634285619604,-77.97600758406196,92
174,-138.50554391589563,-80.32605258927533,152
175,-77.37223776551667,-82.25105288484123,120
176,-44.697448121314565,-79.88853200391893,132
177,-72.26825455836966,-79.64775890050146,92
178,-76.69057368083082,-79.51022406062602,132
179,-56.44083605605008,-79.30071788103635,97
180,-192.4455777040605,-81.76104019350872,152
181,-93.36645887241205,-81.55926006756744,154
182,-90.10479021238068,-80.71816688083962,122
183,-68.32415695605594,-80.48715797521302,113
184,-89.26855773456053,-80.88920931485886,112
185,-105.40515362898614,-81.44223188054588,125
186,-103.73742711412702,-81.52207603260733,153
187,-64.21739829051538,-81.42294060988226,72
188,-205.88951464380168,-84.391611942337,170
189,-95.32453628523002,-84.33649623141254,98
190,-107.10559525273426,-84.63693403073174,77
191,-45.44224415742383,-82.80655603174078,186
192,-72.7568247208853,-83.00182042594528,80
193,-0.5243909413988206,-82.02025974703395,91
194,-78.10976537402885,-81.36980927496217,80
195,-50.21225992488387,-81.40118960370837,157
196,-37.502054020000514,-80.68352223002027,86
197,-10.213440227649627,-79.09727714689502,189
198,-42.61882783564871,-78.9734858933402,86
199,-37.22885868304541,-75.48214320700107,138
200,-101.17579589417026,-75.19621379316747,70
201,-91.8138806477089,-75.9064977966218,141
202,-97.98046839967233,-76.59212036948517,104
203,-36.650091085477726,-74.19519345520524,114
204,-67.61574441573237,-73.99346838314706,129
205,-60.59503026110323,-73.4008389031223,152
206,-77.1249280730988,-72.67104177574168,108
207,-16.136405410906974,-71.0529676142488,170
208,-79.49932675616608,-70.51144127850365,105
209,-53.782539931801224,-70.6870268004941,120
210,-55.40980379771542,-69.39123073244411,122
211,24.85822814633289,-68.39452457920008,134
212,-68.15155137701129,-69.00961909693255,103
213,-37.16797136832129,-68.68435455758004,104
214,-76.71356356700865,-69.9654378882896,83
215,8.134889248392938,-68.72289453297326,108
216,-50.380458327579134,-68.5349381871777,144
217,-80.62252297121498,-70.39453430006209,89
