episode,reward,running_avg,steps
0,-83.55961198922115,-83.55961198922115,60
1,-161.4033180875232,-161.4033180875232,76
2,-254.9077440300429,-254.9077440300429,79
3,-302.93882256418823,-302.93882256418823,96
4,-68.4341046383519,-68.4341046383519,63
5,-424.1182569736282,-424.1182569736282,94
6,-121.349475611095,-121.349475611095,71
7,-242.67193324756954,-242.67193324756954,112
8,-105.22910579799381,-105.22910579799381,126
9,-169.84769882660476,-169.84769882660476,74
10,-109.23852295288602,-109.23852295288602,91
11,-193.8742007222848,-193.8742007222848,87
12,-109.14457548422106,-109.14457548422106,95
13,-183.3711938153947,-183.3711938153947,71
14,-122.8634170071832,-122.8634170071832,79
15,-99.72702160836185,-99.72702160836185,89
16,-91.27599105298367,-91.27599105298367,78
17,-534.9160338046554,-534.9160338046554,118
18,-202.94471804879652,-202.94471804879652,91
19,-189.6965432073211,-189.6965432073211,149
20,-93.65735479363285,-93.65735479363285,94
21,-108.20613131240617,-108.20613131240617,92
22,-181.0388245007403,-181.0388245007403,75
23,-82.5808912759162,-82.5808912759162,65
24,-92.73358548187997,-92.73358548187997,70
25,-106.89457378228397,-106.89457378228397,123
26,-410.4021975093881,-410.4021975093881,107
27,-185.47747457051543,-185.47747457051543,124
28,-114.81051723802334,-114.81051723802334,83
29,-143.70373553143796,-143.70373553143796,85
30,-340.3715853742293,-340.3715853742293,89
31,-69.68554574282027,-69.68554574282027,71
32,-122.48271853744663,-122.48271853744663,91
33,-77.04444607325625,-77.04444607325625,72
34,-315.1515099205162,-315.1515099205162,88
35,-97.80802400205569,-97.80802400205569,123
36,-160.288893220874,-160.288893220874,94
37,-67.54404814780966,-67.54404814780966,86
38,-80.78150265748725,-80.78150265748725,100
39,-327.8416501245853,-327.8416501245853,133
40,-249.50034386380352,-249.50034386380352,82
41,-86.5560497165597,-86.5560497165597,86
42,-82.86925981516268,-82.86925981516268,60
43,-224.6583908484704,-224.6583908484704,123
44,-197.96910247840145,-197.96910247840145,123
45,-257.56511020636594,-257.56511020636594,119
46,-88.53516034589636,-88.53516034589636,101
47,-176.2810837466309,-176.2810837466309,80
48,-92.9684361607035,-92.9684361607035,87
49,-76.72651715778926,-169.67293907214793,65
50,-97.73722635539355,-169.95649135947139,62
51,-90.35623503256447,-168.5355496983722,150
52,-257.6721234994192,-168.5908372877597,96
53,-105.03368063766968,-164.63273444922933,81
54,-161.85549042422548,-166.5011621649468,59
55,-81.85380321966637,-159.65587308986753,103
56,-113.11038881148302,-159.49109135387533,110
57,-55.83237448439893,-155.7543001786119,66
58,-118.84007466150477,-156.02651955588215,97
59,-193.27998512221575,-156.49516528179436,104
60,-142.61723318930555,-157.16273948652278,98
61,-147.95958463028887,-156.24444716468287,75
62,-249.2308165526488,-159.04617198605143,67
63,-171.58583688728476,-158.81046484748921,138
64,-140.50357051219035,-159.16326791758937,82
65,-146.99225290130175,-160.10857254344816,124
66,-155.6531648773388,-161.39611601993525,147
67,-102.04836642205797,-152.73876267228326,109
68,-92.5060374682578,-150.52998906067248,129
69,-88.10429190149598,-148.49814403455596,82
70,-199.59573757811805,-150.61691169024567,116
71,-99.55096739134079,-150.44380841182434,76
72,-161.35215530010436,-150.05007502781163,126
73,-88.80929732552606,-150.17464314880382,68
74,-223.71927536222245,-152.79435694641066,137
75,-389.23600396946006,-158.4411855501542,124
76,-23.77947083165691,-150.7087310165996,77
77,-22.329908273858578,-147.44577969066648,69
78,-178.28368987908698,-148.71524314348778,98
79,-40.27500754970444,-146.6466685838531,66
80,-168.24970132158887,-143.20423090280033,101
81,-67.21100750615231,-143.15474013806696,133
82,-144.39581369609073,-143.59300204123983,75
83,-296.7283925473513,-147.98668097072172,114
84,-112.42986646401322,-143.93224810159165,68
85,-50.32273221809497,-142.98254226591246,122
86,-90.18638296538195,-141.5804920608026,82
87,-87.2890996748147,-141.9753930913427,81
88,-84.86013176036627,-142.0569656734003,74
89,-179.66206226861846,-139.09337391628097,94
90,-58.97373497942496,-135.28284173859336,67
91,-82.40279989166935,-135.19977674209557,81
92,-71.10846338785296,-134.96456081354935,133
93,-47.40069285717141,-131.41940685372336,98
94,-19.12624723987399,-127.8425497489528,98
95,-72.77562977584525,-124.1467601403424,83
96,-68.55536422180674,-123.7471642178606,163
97,-72.94356192621947,-121.68041378145237,79
98,-58.536892895631276,-120.99178291615094,74
99,-52.790667133563545,-120.51306591566642,88
100,-90.54313657279135,-120.36918412001437,91
101,-59.474898128623906,-119.75155738193556,59
102,-81.69771948445141,-116.2320693016362,98
103,-95.82621050213523,-116.04791989892553,68
104,-109.27159910846514,-114.99624207261033,96
105,-88.86120780866051,-115.1363901643902,120
106,-69.15614705159138,-114.25730532919238,101
107,-112.9008330638819,-115.39867450078204,98
108,-134.5380261783434,-115.71263353111881,87
109,-130.69637115426073,-114.46096125175971,71
110,-88.27146810534163,-113.37404595008043,117
111,-86.81428775162581,-112.15114001250717,74
112,-94.96372205201482,-109.06579812249448,135
113,-124.03297154351463,-108.11474081561907,104
114,-140.05525658202336,-108.10577453701573,59
115,-107.7554519691555,-107.3210385183728,108
116,-135.00258914363684,-106.90802700369876,129
117,-102.75728651067922,-106.92220540547119,102
118,-287.86386868859984,-110.82936202987803,104
119,-52.096320448043095,-110.10920260080897,74
120,-109.96631208160268,-108.31661409087866,111
121,-89.46619698460228,-108.11491868274388,116
122,-208.361479650617,-109.05510516975413,136
123,-111.10187175208863,-109.50095665828539,66
124,-95.48868448145055,-106.93634484066995,98
125,-69.18862992977745,-100.5353973598763,86
126,-71.9254081390629,-101.49831610602443,97
127,-69.75777835926799,-102.44687350773262,92
128,-90.11916614692004,-100.68358303308929,85
129,-224.7747815431753,-104.3735785129587,105
130,-91.79973196882594,-102.84457912590344,93
131,-127.50434496021789,-104.05044587498476,119
132,-107.51519810079948,-103.31283356307894,95
133,-91.20094210419617,-99.20228455421584,122
134,-92.98244199047173,-98.81333606474502,100
135,-71.8298496240528,-99.24347841286418,68
136,-12.286535345161184,-97.68548146045975,115
137,-86.10127655310654,-97.66172499802559,96
138,-120.64517879420697,-98.37742593870243,70
139,-114.9999136009166,-97.08418296534838,122
140,-67.57930484052324,-97.25629436257036,96
141,-74.23906623627056,-97.09301968946238,80
142,-99.75771134680768,-97.66600464864148,88
143,-80.68689255307032,-98.33172864255945,97
144,-76.53387845189458,-99.47988126679985,127
145,-64.9961254710682,-99.32429118070432,79
146,-85.29813616522813,-99.65914661957275,141
147,-116.54998564788632,-100.53127509400609,103
148,-96.09947523118569,-101.28252674071717,101
149,-48.86417412653624,-101.20399688057663,61
150,-120.75800327244275,-101.80829421456964,78
151,-70.05911349872315,-102.01997852197162,72
152,-76.1875025079276,-101.90977418244114,92
153,-185.99108745197805,-103.71307172143801,89
154,-79.29986470043791,-103.11363703327748,152
155,-48.84762695775515,-102.31336541625937,119
156,-98.34847789729494,-102.89721203317346,129
157,-59.031243395726875,-101.81982023981035,106
158,-88.69657103673319,-100.90299113697814,103
159,-63.19693757503181,-99.55300246539356,94
160,-106.18033388855234,-99.91117978105777,89
161,-113.9091259271803,-100.45307654456887,84
162,-98.12195791084677,-100.5162412617455,153
163,-108.01959097146977,-100.19597365030461,106
164,-79.5142471438416,-98.98515346154097,82
165,-68.92792150540001,-98.20860285226587,96
166,-46.91573815496611,-96.44686583249246,112
167,-64.4958949976301,-95.68163800223148,127
168,-118.6627619981825,-92.29761586842312,168
169,-2.720076817751135,-91.31009099581729,121
170,-122.53474840161732,-91.56145972221758,145
171,-69.90490422591476,-91.17023386704382,112
172,-64.0372359856137,-88.28374899374374,126
173,-76.54659708863954,-87.59264350047476,68
174,-48.68836579235605,-86.65663712669289,75
175,-77.17260704390438,-86.81631666897542,120
176,-29.240575493887093,-85.9626200160719,143
177,-38.51547316701815,-85.33777391222691,153
178,-50.35634204686305,-84.54251743022579,142
179,-77.02172873566052,-81.58745637407547,113
180,-135.52267007527558,-82.46191513620448,124
181,-22.092437564353943,-80.3536769882872,116
182,-34.80359134765318,-78.89944485322427,150
183,-195.5531605028085,-80.9864892211965,106
