episode,reward,running_avg,steps
0,-43.40409964499503,-43.40409964499503,65
1,-94.72954349440754,-94.72954349440754,97
2,-246.54590767051386,-246.54590767051386,98
3,-73.62730334354117,-73.62730334354117,67
4,-340.19075322187103,-340.19075322187103,133
5,-217.23587704259933,-217.23587704259933,116
6,-133.03762211003067,-133.03762211003067,109
7,-95.92583053065113,-95.92583053065113,72
8,-208.19717464389075,-208.19717464389075,59
9,-356.6734318060503,-356.6734318060503,100
10,-81.17714039737078,-81.17714039737078,113
11,7.381389244148977,7.381389244148977,122
12,-333.60188299341394,-333.60188299341394,129
13,-93.48303076250413,-93.48303076250413,65
14,-275.0899707511886,-275.0899707511886,110
15,-111.59038016768264,-111.59038016768264,64
16,-261.20160472645625,-261.20160472645625,101
17,-73.75278816161891,-73.75278816161891,64
18,-233.5284811885602,-233.5284811885602,132
19,-280.67187346380774,-280.67187346380774,104
20,-427.12985679580464,-427.12985679580464,117
21,-145.29417837383662,-145.29417837383662,85
22,-144.1045656082938,-144.1045656082938,109
23,-205.41421927458592,-205.41421927458592,81
24,-209.22599253703362,-209.22599253703362,62
25,-230.16916463667928,-230.16916463667928,133
26,-373.51189842383604,-373.51189842383604,107
27,-98.88618824605723,-98.88618824605723,85
28,-199.09834503913902,-199.09834503913902,90
29,-185.94841475769684,-185.94841475769684,72
30,-235.72847887531563,-235.72847887531563,88
31,-290.90489836479037,-290.90489836479037,139
32,-142.35445005930487,-142.35445005930487,91
33,-128.9310339359828,-128.9310339359828,76
34,-80.73111352506798,-80.73111352506798,76
35,-134.08498501572717,-134.08498501572717,105
36,-476.7832763358624,-476.7832763358624,105
37,-130.36546002175183,-130.36546002175183,118
38,-75.38077224193222,-75.38077224193222,71
39,-128.27304696850655,-128.27304696850655,104
40,-409.83288859587515,-409.83288859587515,89
41,-498.9461518921618,-498.9461518921618,101
42,-288.41442610137875,-288.41442610137875,82
43,-82.91273720902889,-82.91273720902889,77
44,-103.52821461001884,-103.52821461001884,148
45,-305.65067769413315,-305.65067769413315,98
46,-327.39467218232187,-327.39467218232187,122
47,-68.37934009162188,-68.37934009162188,73
48,-132.53699516778238,-132.53699516778238,101
49,-105.37506146044818,-198.23149621837962,92
50,-113.51838217492472,-199.6337818689782,107
51,-89.69947345978876,-199.53318046828582,63
52,-233.14357725092475,-199.26513385989404,127
53,-83.49049202632229,-199.46239763354967,75
54,-155.73878175313587,-195.773358204175,94
55,-240.7139157272929,-196.24291897786884,114
56,-97.05523408837901,-195.52327121743582,114
57,-124.55289612728416,-196.09581252936846,127
58,-201.07828163262275,-195.9534346691431,123
59,-97.43346830985948,-190.76863539921928,83
60,-137.98353224744105,-191.90476323622067,74
61,-88.11215211246869,-193.81463406335303,105
62,10.976112576609609,-186.92307415195256,143
63,-110.56342689855252,-187.26468207467354,119
64,-381.27773538771334,-189.38843736740404,150
65,-150.6433277149754,-190.1694963183499,110
66,-148.46529105405511,-187.91477004490184,135
67,-110.60117131883308,-188.65173770804614,85
68,-243.25097230912877,-188.84618753045748,89
69,-112.09391628790914,-185.47462838693957,79
70,-109.55324849585806,-179.1230962209406,98
71,-148.10646682457332,-179.17934198995533,69
72,-64.37735897105289,-177.58479785721053,134
73,-105.00838350903356,-175.5766811418995,102
74,-120.18080312969201,-173.79577735375267,110
75,-153.04410807448704,-172.25327622250882,77
76,-263.75038193861275,-170.0580458928044,83
77,-293.54875304771895,-173.9512971888376,91
78,-121.34744052692778,-172.3962790985934,109
79,-183.7551087483879,-172.3524129784072,132
80,-113.14781623917958,-169.9007997256845,67
81,-85.80533978523798,-165.79880855409343,101
82,-227.62620559496256,-167.50424366480655,146
83,-83.0156939137401,-166.58593686436168,116
84,-313.33474521338,-171.23800949812795,158
85,-67.51574645976865,-169.90662472700876,89
86,37.72307966507455,-159.61649760699004,100
87,-72.72294409809021,-158.46364728851682,118
88,-208.34098888004598,-161.1228516212791,87
89,-213.04249397392516,-162.81824056138748,154
90,-199.387012647277,-158.60932304241553,122
91,-65.05913567016202,-149.93158271797554,76
92,-284.1226745341768,-149.8457476866315,79
93,-80.05841623692076,-149.78866126718933,117
94,-338.7782468050593,-154.49366191109013,134
95,-168.96551473682104,-151.7599586519439,130
96,-308.8988735387459,-151.39004267907234,147
97,-109.16850628634903,-152.20582600296686,110
98,-120.09279329872382,-151.9569419655857,102
99,-207.88026925302347,-154.00704612143724,123
100,-190.67311769426914,-155.5501408318241,166
101,-31.96560250121263,-154.3954634126526,92
102,-177.79171096706875,-153.28842608697545,102
103,-6.898170296463647,-151.75657965237826,75
104,-185.055598645819,-152.34291599023194,137
105,-126.93331137899426,-150.06730390326595,86
106,-77.4101229115947,-149.67440167973027,106
107,-191.56769187623664,-151.01469759470933,114
108,-253.92254885149987,-152.07158293908688,110
109,-35.50767535644502,-150.8330670800186,75
110,-112.13731671270568,-150.3161427693239,63
111,-8.608198878515907,-148.72606370464484,86
112,-64.24042894281396,-150.23039453503333,65
113,-174.18681266148047,-151.5028622502919,84
114,-181.27686034743806,-147.5028447494864,136
115,-225.85969668530294,-149.00717212889293,124
116,-10.205233309065747,-146.24197097399312,100
117,-148.63356807211397,-147.00261890905875,85
118,-211.3460012056387,-146.36451948698897,144
119,-185.54493251136017,-147.833539811458,98
120,-59.720552545620365,-146.8368858924532,93
121,-160.04468278021432,-147.07565021156606,157
122,-137.105836277893,-148.53021975770284,80
123,-143.8142387251654,-149.3063368620255,122
124,-162.88362601595952,-150.16039331975082,118
125,-136.13499631669583,-149.82221108459498,72
126,-96.40464387324128,-146.47529632328755,84
127,-109.16340407942012,-142.7875893439216,113
128,-157.1643877128941,-143.50392828764095,128
129,-92.53479612173594,-141.67952203510788,87
130,27.178242701885253,-138.87300085628655,125
131,-242.88441036666947,-142.0145822679152,126
132,-115.45502751332984,-139.77115870628253,77
133,-78.50936517497895,-139.68103213150735,80
134,-95.36037307640937,-135.32154468876791,76
135,-131.76171530843027,-136.60646406574114,144
136,-113.81099559116339,-139.6371455708659,87
137,-136.52828198226428,-140.91325232854936,84
138,-182.58441713119,-140.39812089357224,75
139,-155.52385225912565,-139.24774805927626,119
140,-182.10449931016282,-138.90209779253397,119
141,-225.0461640121374,-142.1018383593735,127
142,-157.4288404477461,-139.5679616776449,136
143,-160.46063728476352,-141.17600609860176,70
144,-128.8261607001036,-136.97696437650262,67
145,-64.41708405790556,-134.88599576292432,158
146,-105.91188305946642,-130.82625595333874,109
147,-146.73813062598765,-131.5776484401315,144
148,-116.25848823205138,-131.50096233879805,72
149,-48.7460996853527,-128.3182789474446,90
150,-63.325851548896495,-125.77133362453719,147
151,-109.84093155656892,-127.32884020564431,85
152,-144.6443119597166,-126.66589222549726,97
153,-59.091327450579165,-127.70975536857958,135
154,-174.28481172339053,-127.49433963013102,126
155,-55.46173088735512,-126.06490802029823,152
156,-346.23874136749686,-131.44148038941628,124
157,-99.75084662015266,-129.60514348429462,116
158,-94.46944023221661,-126.41608131190893,131
159,-79.67986522034512,-127.29952510918692,157
160,-147.99896924360263,-128.01675815980485,159
161,-2.809106244670332,-127.90077630712796,144
162,-111.74974703461855,-128.85096266896406,95
163,-48.68887898096659,-126.34100399535379,156
164,-302.7184500927546,-128.76983579026012,137
165,-3.9607995236357425,-124.33185784702678,95
166,-56.09124351629636,-125.24957805117138,173
167,-142.77097877617163,-125.13232626525253,182
168,-77.4584565228664,-122.45457537159709,173
169,-92.96298662758339,-120.60293645392154,96
170,-174.49886176104852,-122.89850263823013,143
171,-224.6697107760984,-124.1910031981478,102
172,-146.86907043822862,-124.3862678813545,119
173,9.489230387128856,-121.32019849910861,95
174,-0.5568718010689935,-118.07366341481081,185
175,-97.21257379173403,-117.29521496431157,107
176,-52.5438742481573,-116.4179995718099,207
177,87.11313612145845,-112.49246876779233,1000
178,-31.718818153996466,-109.98355737661437,154
179,-111.90174597307053,-110.37089637364106,117
180,-125.05985886862136,-113.41565840505119,100
181,-94.01608396432421,-110.43829187700429,94
182,-113.44332708820214,-110.39805786850172,150
183,-115.74047659427275,-111.1426800968876,104
184,-85.11670977740938,-110.9378068309076,211
185,-68.38990415500982,-109.6703706078392,82
186,-98.78403114820405,-109.36983131898,182
187,-98.37692240690828,-108.6068041274729,128
188,-108.0042476524418,-107.11520073789794,127
189,-46.3416606768228,-104.93155690625187,118
190,-123.73378130490072,-103.76414254614663,148
191,-99.83122776914132,-101.25984382128672,93
192,-97.1637399056548,-100.05454181044489,108
193,-106.98264970194232,-98.98498205878846,153
194,-54.30850313520298,-97.49462890749044,217
195,-29.99119896447965,-96.80611120562193,142
196,-91.559028334689,-96.51905411112638,184
197,-112.9268336470378,-95.84282817154737,155
198,-97.14157163663175,-95.46048983963897,118
199,-332.4235220755386,-101.13403828744269,110
200,-102.28232745680779,-101.91316780560092,140
201,-55.4653265379071,-100.82565570522767,102
202,-96.02125399351554,-99.85319454590365,92
203,-64.0002834156134,-99.95137366520434,146
204,-118.64093681910379,-98.8384961671186,155
205,-95.94484925554039,-99.6481585344823,83
206,-107.66049755395522,-94.87659365821148,119
207,-165.17751910441544,-96.18512710789672,135
208,-99.01734870712443,-96.2760852773949,154
209,-93.58003239676077,-96.55408862092321,93
210,-88.02885898030152,-95.35468641565718,167
211,-15.595698140829796,-95.61041825358038,130
212,-98.10336802203892,-95.33749067332879,121
213,-89.7260354630694,-96.15823380297086,84
214,-78.91381298827707,-91.6821410608813,128
215,-110.62218101415299,-93.81536869069164,151
216,-50.376601332144304,-93.70107584700862,84
217,-27.924816455387926,-91.40415260059294,190
218,-97.8173149190987,-91.81132976851757,98
219,100.73794903137208,-87.93731105533847,1000
220,-43.36876702371342,-85.31470916059176,128
221,-125.2069777280599,-83.32545449963098,131
222,-123.23297800976408,-82.8527326510617,143
223,-101.31580848103489,-85.06883342842498,164
224,-131.3710622077065,-87.68511723655773,88
225,-1.968432971988932,-85.78023442016283,144
226,-53.86168684879057,-85.80659067217549,189
227,-95.08571178464035,-89.45056763029747,98
228,6.471646529739772,-88.68675833662274,129
229,-217.07786136023697,-90.79028064436608,134
230,-46.437226585932066,-89.21782799871228,125
231,-99.58173423915943,-89.32914100420899,157
232,-120.75867806184976,-89.47544802368195,98
233,-43.634852763892724,-88.03333554707434,132
234,-284.9523247184188,-92.03004784589456,196
235,-94.21119383343944,-92.54647363946313,248
236,-114.59178993180925,-92.86262881513524,108
237,-19.574493539014043,-91.28658023777734,116
238,79.44800804466432,-87.53753512383521,1000
239,-96.52906761304897,-88.54128326255972,124
240,-48.44034003078322,-87.03541443707738,96
241,45.43060274350853,-84.13017782682438,217
242,-84.80151079017816,-83.88293324451485,126
243,-10.097568292268676,-81.94523161632137,180
244,-13.807216293357314,-81.13520587948446,287
245,-65.98372566086115,-81.85505641341209,98
246,29.106852843496625,-79.44173878984836,148
247,-232.89469850563768,-81.84109608702038,186
248,-124.31581464111406,-82.38458094711002,173
249,-15.730793651454931,-76.05072637862835,157
250,1.409569215386341,-73.97688844518449,205
251,-106.46290069165251,-74.9968399282594,211
252,-94.56946290033189,-74.96780410639573,135
253,-22.571616449893895,-74.13923076708134,166
254,-157.57274708137703,-74.91786697232679,295
255,-256.3358683715423,-78.12568735464683,327
256,-75.86732616231235,-77.48982392681397,123
257,-49.48596785496447,-75.17599290182496,129
258,-49.580221564703244,-74.18725035897653,289
259,-60.37962698664694,-73.52324225077426,109
260,51.89345602929319,-70.72479595058236,1000
261,-223.75466438814607,-74.88797527552869,262
262,-73.88362709336963,-74.4035804569553,193
263,-103.74100794558143,-74.68387990660554,107
264,-83.24276726709944,-74.770458992182,139
265,-82.64886978055486,-74.21099276751004,153
266,147.6363187604625,-70.25073436565789,1000
267,-159.8276853198791,-72.88879174294772,234
268,-28.60602982767908,-71.50456604111933,225
269,-34.728069849565486,-74.21388641873807,268
270,-5.894423078850551,-73.46439953984081,291
271,81.66756475090916,-69.32690869026143,1000
272,-263.0469039967961,-72.12318721000206,211
273,-256.5452050342699,-75.22777514106677,266
274,-32.76931272575804,-73.2557401514278,193
275,-29.93743567870783,-73.81512020556218,163
276,-89.0218935017561,-74.51832433862148,120
277,-181.1450839463066,-76.23951178185482,205
278,-154.19639052851704,-79.45287252301995,212
279,-17.878630714820062,-75.4688879101116,172
280,-96.96084209503022,-76.47936022029357,127
281,-20.96322447378965,-74.90699002498617,152
282,-106.81395235551336,-74.62809551085945,302
283,109.14561649852983,-71.57248612561101,1000
284,-221.45471262823446,-70.30253388380733,227
285,-71.28668773538925,-69.84404376184631,147
286,-85.93690246231449,-69.2709460124564,177
287,-213.27333277827717,-73.14492279724168,216
288,40.974423275498864,-73.91439449262498,1000
289,-38.07124389845529,-72.74523801833311,231
290,-57.014959453604106,-72.91673040678953,293
291,-158.13799035998284,-76.98810226885935,297
292,-80.31245713613157,-76.89832119577842,188
293,-18.105879774487278,-77.05848742542281,149
294,-57.93476478586119,-77.94103839527288,170
295,-119.86077810126913,-79.01857944408104,364
296,-91.97239625296773,-81.44016442601034,265
297,-8.073221333333066,-76.94373488256424,200
298,-58.644105024939066,-75.63030069024074,204
299,-86.64861165603784,-77.04865705033241,146
300,-213.30757429206636,-81.34299992048147,158
301,-177.13623804373793,-82.75646666752318,157
302,-246.95717868908713,-85.80422098329828,159
303,-65.25123291883511,-86.65781331267712,239
304,-79.91683093035034,-85.10469498965658,136
305,-216.04108256693354,-84.2987992735644,177
306,117.2541555164657,-80.43636963998883,1000
307,-31.631401155998404,-80.07927830600951,384
308,-173.9521163424644,-82.56671620156473,165
309,-109.57833184103205,-83.55069029865241,159
310,-34.611527201171484,-85.28078996326173,350
311,27.598812157820117,-80.25372043234239,1000
312,-84.70011440592901,-80.47005017859358,267
313,-51.79097059395003,-79.43104943156096,112
314,-113.48520743649516,-80.03589823494887,222
315,-102.16686262622437,-80.42625809186224,420
316,-56.11399381523359,-84.50126434337618,194
317,-19.73092028809475,-81.69932904274047,314
318,-10.972887191039902,-81.3466661900077,137
319,-149.55264422448332,-83.64315767750604,211
320,-81.11971570215042,-85.14766352997204,205
321,-111.86419280239384,-89.0182986810381,182
322,-156.85127677830178,-86.89438613666823,176
323,-11.485361140604454,-81.99318925879493,332
