episode,reward,running_avg,steps
0,-437.13015395678457,-437.13015395678457,96
1,-116.80039240699963,-116.80039240699963,63
2,-151.00118020811215,-151.00118020811215,57
3,-289.0842484508753,-289.0842484508753,115
4,-242.6489262978365,-242.6489262978365,125
5,-230.7419813949187,-230.7419813949187,93
6,-53.02356130487914,-53.02356130487914,62
7,-72.6699005588886,-72.6699005588886,101
8,-105.94465586129058,-105.94465586129058,84
9,-153.51677347962965,-153.51677347962965,113
10,-167.05269718473363,-167.05269718473363,62
11,-232.25075419860852,-232.25075419860852,90
12,-91.71013175365783,-91.71013175365783,60
13,-343.8686765715483,-343.8686765715483,100
14,-379.8112084117367,-379.8112084117367,89
15,-223.01601103199695,-223.01601103199695,89
16,-420.57475088510864,-420.57475088510864,110
17,-13.410261938309816,-13.410261938309816,110
18,-217.58479323252243,-217.58479323252243,120
19,-59.249542794828656,-59.249542794828656,69
20,-153.38722928505325,-153.38722928505325,87
21,-226.8914436747106,-226.8914436747106,91
22,-167.43127239244603,-167.43127239244603,113
23,-298.56797493929554,-298.56797493929554,102
24,-144.00668685199736,-144.00668685199736,99
25,-107.0097949382828,-107.0097949382828,131
26,-86.63939079545916,-86.63939079545916,94
27,-136.71333537924704,-136.71333537924704,75
28,-100.28849205266906,-100.28849205266906,83
29,-354.59602324319087,-354.59602324319087,135
30,-170.11541562707302,-170.11541562707302,69
31,-236.6477243350229,-236.6477243350229,117
32,-80.37958647493383,-80.37958647493383,84
33,-165.59956210491987,-165.59956210491987,135
34,-129.21802918803053,-129.21802918803053,67
35,-64.36901489210359,-64.36901489210359,99
36,-287.49515428621964,-287.49515428621964,93
37,-63.484907443264746,-63.484907443264746,84
38,-79.57212808948336,-79.57212808948336,81
39,-245.72470480165458,-245.72470480165458,119
40,-258.69353529205637,-258.69353529205637,116
41,-110.00050648908731,-110.00050648908731,152
42,-88.05920112987663,-88.05920112987663,103
43,-152.53865297609593,-152.53865297609593,67
44,-182.6821391439683,-182.6821391439683,107
45,-58.563511330334535,-58.563511330334535,123
46,-170.93433518284422,-170.93433518284422,88
47,-72.7897718561816,-72.7897718561816,72
48,-94.2825362050643,-94.2825362050643,84
49,-159.28825868850944,-172.94121842024683,118
50,-384.49489756460076,-171.8885132924032,107
51,-223.70290067857746,-174.02656345783473,84
52,-75.13100955802315,-172.50916004483295,125
53,-173.56192482994197,-170.19871357241428,80
54,-81.91738501714323,-166.9840827468004,97
55,-48.95386520816824,-163.34832042306542,148
56,-83.39370474774518,-163.9557232919227,70
57,-100.56256825407252,-164.5135766458264,92
58,-154.30322702002573,-165.4807480690011,94
59,-102.18814828438268,-164.45417556509616,100
60,-120.6530422354636,-163.52618246611075,89
61,-101.01844841542365,-160.90153635044706,120
62,-161.99821452500927,-162.3072980058741,101
63,-5.9688474458332905,-155.54930142335976,130
64,-97.25530845489848,-149.898183424223,90
65,-72.37486772868034,-146.8853605581567,103
66,-197.35447379201253,-142.42095501629478,145
67,-87.2419958412521,-143.89758969435363,120
68,-89.15282013426061,-141.32895023238842,81
69,-61.0058276185995,-141.36407592886383,97
70,-178.40769100245623,-141.8644851632119,95
71,-205.61723337789545,-141.4390009572756,122
72,-84.82693531490631,-139.7869142157248,63
73,-106.21683499282508,-135.93989141679538,107
74,-44.49038917367105,-133.94956546322888,138
75,-25.748831660144475,-132.32434619766607,146
76,-105.18800588374877,-132.69531849943186,96
77,-91.48519081535798,-131.7907556081541,64
78,-124.95837213304462,-132.28415320976163,135
79,-75.68589286784677,-126.70595060225472,171
80,-348.0330392801495,-130.26430307531623,109
81,-258.7778610693571,-130.70690581000292,115
82,-101.3378028673792,-131.12607013785185,93
83,12.346431100395321,-127.56715027374553,104
84,-78.7085816597016,-126.55696132317895,114
85,-76.35043934706357,-126.79658981227814,125
86,-64.95877331305705,-122.3458621928149,115
87,-55.54546952888274,-122.18707343452726,107
88,-248.22103090991203,-125.56005149093585,90
89,-120.87710133142785,-123.0630994215313,81
90,-259.45780223610086,-123.07838476041219,74
91,-118.72139861018788,-123.25280260283421,95
92,-66.76981985313756,-122.82701497729943,66
93,-0.7048475825222908,-119.79033886942796,157
