episode,reward,running_avg,steps
0,-98.68228451762954,-98.68228451762954,81
1,-71.60582801562249,-71.60582801562249,61
2,-317.372465413933,-317.372465413933,87
3,-163.36981824422617,-163.36981824422617,81
4,-368.3479800952426,-368.3479800952426,104
5,-140.91316162954433,-140.91316162954433,99
6,-155.128678062811,-155.128678062811,149
7,-35.08650431361103,-35.08650431361103,93
8,-83.53235810334964,-83.53235810334964,84
9,-342.5372151340006,-342.5372151340006,100
10,-55.216583436789634,-55.216583436789634,126
11,-139.81083629642762,-139.81083629642762,84
12,-50.74606368816502,-50.74606368816502,127
13,-181.56269200233908,-181.56269200233908,91
14,-234.53949281122547,-234.53949281122547,95
15,-109.93979487946825,-109.93979487946825,107
16,0.1783461415523817,0.1783461415523817,80
17,-112.01498184082396,-112.01498184082396,102
18,-83.04281547292778,-83.04281547292778,65
19,-203.28851480745763,-203.28851480745763,76
20,-133.3955396200564,-133.3955396200564,63
21,-66.58030830171924,-66.58030830171924,61
22,-105.52916341791281,-105.52916341791281,146
23,-173.3037597258593,-173.3037597258593,66
24,-139.22125631414252,-139.22125631414252,66
25,-275.3159796931442,-275.3159796931442,82
26,-112.14146646413255,-112.14146646413255,76
27,-208.17824903312177,-208.17824903312177,69
28,-214.69315196000545,-214.69315196000545,137
29,-284.8429156511376,-284.8429156511376,98
30,-283.5855269795893,-283.5855269795893,107
31,-128.76371293355646,-128.76371293355646,95
32,-120.65802042355875,-120.65802042355875,124
33,-100.2523719238548,-100.2523719238548,70
34,-100.41025327296748,-100.41025327296748,60
35,-65.18085686013656,-65.18085686013656,70
36,-85.61259036830428,-85.61259036830428,119
37,-95.96866304090072,-95.96866304090072,81
38,-328.1218405039721,-328.1218405039721,102
39,-93.34350754462793,-93.34350754462793,66
40,-124.44237427991285,-124.44237427991285,111
41,-213.0577858285547,-213.0577858285547,100
42,-87.15026616304793,-87.15026616304793,91
43,-52.94635695956134,-52.94635695956134,74
44,-204.14715525987182,-204.14715525987182,101
45,-107.72273392925429,-107.72273392925429,117
46,-213.53273623346826,-213.53273623346826,155
47,-157.20043365264544,-157.20043365264544,68
48,-76.59949775735598,-76.59949775735598,69
49,-107.0570546334171,-148.11030502707666,101
50,-189.18218308894743,-149.92030299850305,105
51,-116.74913199142458,-150.82316907801905,102
52,-114.77186483909628,-146.7711570665223,73
53,-183.98651802170238,-147.18349106207182,117
54,-185.48001923927586,-143.52613184495252,111
55,-132.6224005963167,-143.36031662428795,85
56,-184.8903487147816,-143.95555003732738,108
57,-80.69626954670291,-144.86774534198923,73
58,-58.27731886374887,-144.36264455719726,79
59,-81.85289565504539,-139.14895816761813,75
60,-157.1409654019342,-141.187445806921,99
61,-129.40476983567848,-140.97932447770606,78
62,-82.26173300832349,-141.60963786410923,85
63,-88.89087059039375,-139.7562014358703,76
64,-171.42163436923107,-138.49384426703043,118
65,-85.14452071569458,-137.99793878375493,95
66,-108.35962831952816,-140.16869827297654,94
67,-109.54193602251794,-140.1192373566104,94
68,-200.48288975914681,-142.46803884233475,106
69,-76.37666811964122,-139.9298019085784,75
70,-67.58307381192259,-138.61355259241577,81
71,-161.22760829483843,-140.50649859227815,94
72,-354.4477285625399,-145.48486989517073,121
73,-104.31130121888262,-144.10502072503118,120
74,-87.28352093559958,-143.06626601746032,91
75,-162.7209163348013,-140.81436475029346,103
76,-106.00775745572201,-140.69169057012525,120
77,-116.44118168047514,-138.85694922307235,75
78,-213.8101091912507,-138.83928836769724,122
79,-149.01474941552917,-136.12272504298505,103
80,-60.73438895100512,-131.66570228241335,128
81,-77.40349308801406,-130.63849788550252,120
82,-162.6656956420616,-131.47865138987257,60
83,-76.25031725435336,-130.99861029648252,77
84,-113.50323404408043,-131.26046991190478,61
85,-70.55802709348612,-131.36801331657176,95
86,-83.33703835223403,-131.32250227625036,118
87,-112.91070518660246,-131.6613431191644,101
88,-221.67806722713118,-129.53246765362758,109
89,-148.38515084149708,-130.63330051956495,129
90,-55.703765668078596,-129.25852834732828,105
91,-150.2159241692291,-128.00169111414178,96
92,-88.61950082551158,-128.03107580739103,78
93,-167.3335110918357,-130.31881889003654,86
94,-124.91871706048909,-128.73425012604886,86
95,-201.1721081937452,-130.6032376113387,101
96,-7.563995115676121,-126.48386278898283,112
97,-179.41958480092333,-126.92824581194839,89
98,-73.787076430666,-126.8719973854146,89
99,-61.54920379004842,-125.96184036854723,93
100,-37.77398544452902,-122.93367641565885,83
101,8.681993752418762,-120.42505390078199,127
102,-85.69515779532954,-119.84351975990666,83
103,-70.02277999288216,-117.56424499933024,103
104,-107.21926946312139,-115.99903000380715,82
105,-51.4873261351321,-114.37632851458346,102
106,-89.73423349127151,-112.47320621011326,77
