episode,reward,running_avg,steps
0,-239.51630098674264,-239.51630098674264,72
1,-291.1598832797309,-291.1598832797309,109
2,-261.4126388967074,-261.4126388967074,109
3,-151.8078096890443,-151.8078096890443,82
4,-498.08942532854957,-498.08942532854957,117
5,-106.64819318161494,-106.64819318161494,91
6,-276.8838803143606,-276.8838803143606,99
7,-118.09659887385786,-118.09659887385786,96
8,-19.996413692079912,-19.996413692079912,88
9,-117.2253439778608,-117.2253439778608,96
10,-263.71315624174224,-263.71315624174224,103
11,-23.93838899724618,-23.93838899724618,118
12,-93.17580479412132,-93.17580479412132,82
13,-359.4472454744307,-359.4472454744307,121
14,-66.71889438943657,-66.71889438943657,92
15,-269.70176668842964,-269.70176668842964,118
16,-92.97165607328263,-92.97165607328263,78
17,-153.88444608752533,-153.88444608752533,96
18,-256.2281177259731,-256.2281177259731,77
19,-60.58889952337023,-60.58889952337023,107
20,-364.46036435860196,-364.46036435860196,105
21,-94.41674560705498,-94.41674560705498,64
22,-418.4941755337236,-418.4941755337236,123
23,-95.64270679049321,-95.64270679049321,68
24,-86.84988187093978,-86.84988187093978,69
25,-169.499688391199,-169.499688391199,68
26,-97.21145472649984,-97.21145472649984,149
27,-88.20544064074505,-88.20544064074505,81
28,-127.70208215346938,-127.70208215346938,81
29,-422.39829043103833,-422.39829043103833,106
30,-79.09198168041347,-79.09198168041347,80
31,-264.6037740850312,-264.6037740850312,95
32,-214.9090950368497,-214.9090950368497,119
33,-89.80968462017854,-89.80968462017854,82
34,-314.0125792238478,-314.0125792238478,111
35,-187.80018835391581,-187.80018835391581,74
36,-92.06644330129205,-92.06644330129205,123
37,-119.47402742101086,-119.47402742101086,71
38,-51.99312797911771,-51.99312797911771,133
39,-147.89836246852067,-147.89836246852067,66
40,-66.42776273839624,-66.42776273839624,88
41,-94.49372365307026,-94.49372365307026,78
42,-212.06548989052726,-212.06548989052726,71
43,-310.07038138228586,-310.07038138228586,103
44,-94.80862421519842,-94.80862421519842,88
45,-90.05319129585187,-90.05319129585187,104
46,-110.1421081641168,-110.1421081641168,74
47,-113.95458394397414,-113.95458394397414,74
48,-89.62591008219822,-89.62591008219822,108
49,-78.8162794280716,-170.16406027367483,97
50,-72.52118894148543,-166.82415803276967,56
51,-102.94500000153285,-163.05986036720574,74
52,-78.79218125101906,-159.407451214292,78
53,-112.93064183708339,-158.62990785725273,104
54,-138.50293632355678,-151.43817807715288,93
55,-95.93517645582887,-151.22391774263718,87
56,-85.47631042091989,-147.3957663447684,75
57,-121.70332754333322,-147.46790091815788,62
58,-123.36622356105217,-149.53529711553736,76
59,-78.81992997672282,-148.76718883551456,64
60,-97.95132628341811,-145.45195223634806,84
61,-175.7196058310658,-148.48757657302446,86
62,-207.87639227377014,-150.78158832261744,106
63,-88.375841655881,-145.3601602462464,90
64,-27.77387348939949,-144.58125982824566,120
65,-71.19898775183971,-140.61120424951386,63
66,-87.04362426991871,-140.49264361344657,92
67,-262.48544567000226,-142.6646636050961,111
68,-57.198601077528494,-138.68407327212722,86
69,-166.89465809395188,-140.81018844353886,96
70,-96.76575084584778,-135.4562961732838,82
71,-218.4969641493051,-137.93790054412878,117
72,-234.01854811159882,-134.2483879956863,106
73,-111.25120101651373,-134.5605578802067,100
74,-81.7357030051316,-134.45827430289052,63
75,-113.94415878819935,-133.34716371083053,94
76,-108.09588486750154,-133.56485231365056,132
77,-189.2499676882116,-135.58574285459989,138
78,-106.84213950698619,-135.16854400167023,71
79,-77.60305546625389,-128.27263930237459,97
80,-63.11327732535409,-127.9530652152734,111
81,-245.78654822082976,-127.57672069798936,104
82,-63.78384367996105,-124.5542156708516,109
83,-127.41524089110356,-125.3063267962701,145
84,-72.72535742180779,-120.48058236022929,89
85,-153.01111395015448,-119.78480087215407,112
86,-141.88075728674715,-120.78108715186318,120
87,-106.58114603122141,-120.52322952406737,143
88,-114.20968188202708,-121.76756060212557,122
89,-152.71192967940468,-121.86383194634325,111
90,-181.1604556321126,-124.15848580421759,106
91,-116.18627448551288,-124.59233682086642,63
92,-60.203511204085665,-121.55509724713758,90
93,-89.01195208969528,-117.13392866128578,69
94,-135.15184947407997,-117.94079316646341,112
95,-204.24286001703865,-120.22458654088715,60
96,-82.91226913028828,-119.67998976021057,77
97,-117.29937178832003,-119.74688551709748,107
98,-65.29756946254906,-119.2603187047045,72
99,-149.6423598729554,-120.67684031360218,100
100,41.99345871632585,-118.38654736044596,102
101,-51.452443997270734,-117.35669624036072,119
102,-114.85333879109807,-118.07791939116231,85
103,-134.18005886631624,-118.50290773174696,121
104,-121.09786061028879,-118.1548062174816,106
105,-197.43584671679994,-120.18481962270104,109
106,-91.84517511492677,-120.31219691658119,135
107,-120.34652465232818,-120.28506085876109,97
108,-74.9041285421269,-119.31581895838258,76
109,-56.957511688181356,-118.87857059261175,134
110,-88.58290344383597,-118.6912021358201,93
111,-82.43236076420465,-116.82545723448287,57
112,-147.08650052619475,-115.60965939953135,97
113,-99.05897129311356,-115.823321992276,69
114,-100.7753406056545,-117.28335133460108,65
115,-170.08671786897816,-119.26110593694386,84
116,-73.97190136852151,-118.99967147891593,96
117,-85.9445624894648,-115.46885381530517,143
118,-112.9388182106081,-116.58365815796677,85
119,-77.56886676564338,-114.7971423314006,72
120,-126.36836775832336,-115.3891946696501,78
121,-98.23678466783932,-112.98399108002079,80
122,-97.54437837153495,-110.2545076852195,95
123,-109.43406792411706,-110.21816502337157,102
124,-126.30419771205098,-111.10953491750995,106
125,-94.30862496331916,-110.71682424101233,111
126,-73.40560860430676,-110.02301871574844,78
127,-56.61352226636126,-107.37028980731142,123
128,-52.71178403665509,-106.2876826979048,144
129,-127.24827990723746,-107.28058718672449,97
130,20.7002544895295,-105.60431655042682,89
131,-137.20013334943343,-103.43258825299888,69
132,-148.27950852984026,-105.12250154999649,105
133,-103.82162955442426,-104.65062932326289,112
