episode,reward,running_avg,steps
202,-66.90486923200555,-87.97837667296511,131
203,-55.88757231212141,-87.61399790900231,108
204,-35.04221085383635,-83.09961253849646,158
205,5.783758907417337,-81.19609891442516,201
206,3.1149092535627148,-80.41959048161912,145
207,-52.109181493929604,-80.09963038039545,114
208,-24.257727076110243,-78.6005347274927,188
209,-100.75812659060516,-79.49307100647934,64
210,-132.6941573899729,-80.05622158188896,100
211,-18.424409177827386,-77.61806958720932,90
212,-115.52513088401162,-78.90523122771401,97
213,-89.9788269944332,-76.29220092653952,148
214,-58.20301027768667,-76.24879883783956,98
215,-64.82486108529778,-76.01076256815709,124
216,10.774699352757551,-72.32061645595707,132
217,-131.99739000402798,-69.7759859007029,102
218,-78.00268825017068,-70.30859456988442,90
219,-6.990440381545042,-69.6522561917594,93
220,-103.77826066644698,-69.76967351974479,153
221,-54.028839110483375,-69.95355285267335,95
222,-42.896874763353296,-66.37159889603177,86
223,-70.77756270680797,-65.61203874893704,145
224,-10.892666304006667,-64.8256818924885,146
225,-95.6121881446259,-65.78143563798872,78
226,-75.79037319117938,-65.03217976245553,83
227,-61.91404454159829,-65.61838970024773,139
228,-64.01488825537459,-63.85095404608864,121
229,-79.04923580909886,-63.88750716131815,95
230,-45.593267872089434,-63.164762665553724,109
231,-54.47535000003327,-60.63919134962003,121
232,-65.29948073828403,-60.620201174021965,89
233,-28.3507448702249,-59.59634429574719,82
234,4.517187695644694,-58.121613332047524,81
235,-147.23174139866506,-59.49916770471425,178
236,-45.33102074186567,-58.76872391747604,70
237,-4.265019559350435,-58.75609369245945,158
238,-90.8277750881255,-56.03564767494263,113
239,-126.76460494529597,-57.54342715413537,119
240,-157.8942713847764,-60.780646851471914,144
241,-56.26709324591842,-61.10757313685436,120
242,4.1891480991508985,-60.18310577654309,113
243,-35.0745536693443,-58.33530870725585,93
244,-83.72007188942445,-59.26596004478294,99
245,-36.22414051486537,-58.34614155222698,76
246,2.8467418233384336,-57.723657398998355,121
247,14.364754237391026,-55.97857803324334,111
248,-91.52856537865823,-58.46756561032263,111
249,-38.314895160455535,-57.981264404147005,88
250,-28.159494022559585,-56.20085494276062,112
251,-16.323510051871168,-55.92819873318204,199
252,-93.36963620018533,-56.457494072545636,106
253,-18.242172851949434,-55.7045860833422,190
254,-1.2143964227395543,-55.02802979472026,95
255,-58.593332656967945,-56.315571626007966,119
256,-25.86820803048346,-56.89523397168889,84
257,-49.64047217165297,-56.84585978524335,97
258,-23.24223116300125,-56.82554986698118,127
259,-35.8108398982729,-55.52660413313454,73
260,-248.10408217476092,-57.834802628830296,1000
261,49.37238083722005,-56.47886682852935,1000
262,-33.63196969438471,-54.841003604736805,119
