episode,reward,running_avg,steps
0,-417.5498642746437,-417.5498642746437,98
1,-123.3713378724203,-123.3713378724203,82
2,-64.14493877882805,-64.14493877882805,73
3,-127.1757813657693,-127.1757813657693,93
4,-285.87672575348984,-285.87672575348984,148
5,-122.53968300938536,-122.53968300938536,86
6,-97.8963564190967,-97.8963564190967,84
7,-97.33280614440908,-97.33280614440908,83
8,-200.66967628235773,-200.66967628235773,80
9,-103.50927205180275,-103.50927205180275,68
10,-84.21243003397186,-84.21243003397186,77
11,-187.4219365059803,-187.4219365059803,146
12,-84.30848260634778,-84.30848260634778,87
13,-302.22198742336445,-302.22198742336445,95
14,-155.85181426380063,-155.85181426380063,104
15,-361.4451699349456,-361.4451699349456,88
16,-208.8278131072177,-208.8278131072177,87
17,-314.7211084529607,-314.7211084529607,129
18,-165.17530151811988,-165.17530151811988,114
19,-263.65801223398927,-263.65801223398927,98
20,-121.44509539126909,-121.44509539126909,97
21,-161.91310709554767,-161.91310709554767,83
22,-243.16252606393707,-243.16252606393707,107
23,-96.33277472104373,-96.33277472104373,110
24,-331.10150399928614,-331.10150399928614,80
25,-161.5182167067906,-161.5182167067906,115
26,-310.58328885896344,-310.58328885896344,91
27,-403.5461123193446,-403.5461123193446,90
28,-93.35414183984398,-93.35414183984398,135
29,-98.49499433853079,-98.49499433853079,118
30,-86.3934691298473,-86.3934691298473,73
31,-279.7935791483341,-279.7935791483341,77
32,-151.49801024922286,-151.49801024922286,85
33,55.52058525858969,55.52058525858969,1000
34,-81.08817767220607,-81.08817767220607,106
35,-174.92331062444586,-174.92331062444586,125
36,-131.36461281189034,-131.36461281189034,69
37,-98.02684461728427,-98.02684461728427,138
38,-166.47840025487193,-166.47840025487193,126
39,-89.51060857849461,-89.51060857849461,98
40,-142.00848952423658,-142.00848952423658,79
41,-78.77425535177902,-78.77425535177902,136
42,-78.40486493372829,-78.40486493372829,104
43,-83.80150836267826,-83.80150836267826,67
44,3.1481369273115547,3.1481369273115547,72
45,-56.2266055761915,-56.2266055761915,74
46,-275.3061430624987,-275.3061430624987,99
47,-82.00321203269255,-82.00321203269255,72
48,-193.98895690856443,-193.98895690856443,107
49,-192.37322853681982,-163.45315629114688,69
50,-90.95485658177161,-156.92125613728945,131
51,-54.67108904433144,-155.54725116072768,81
52,-145.93215410412688,-157.1829954672336,79
53,-103.12767814192293,-156.70203340275668,60
54,-90.27380997836401,-152.78997508725416,91
55,-76.58809806956727,-151.8709433884578,94
56,-103.64176816564525,-151.98585162338878,95
57,-78.69283873860391,-151.61305227527268,75
58,-77.4451230217746,-149.14856121006102,93
59,-83.57324758951398,-148.74984072081523,97
60,-89.92216757836204,-148.86403547170303,87
61,-150.4402885170584,-148.1244025119246,112
62,-17.06348870375612,-146.7795026338728,101
63,-62.82496172224638,-141.99156211985047,82
64,-97.21912550161565,-140.8189083446067,101
65,-104.24118438553815,-135.67482863361855,79
66,-157.3491396263516,-134.64525516400124,77
67,-80.26006164170037,-129.95603422777606,89
68,-128.14110314876643,-129.215350260389,126
69,-142.4804265597051,-126.79179854690328,65
70,-128.47064923151737,-126.93230962370825,76
71,-31.78695808251679,-124.32978664344763,136
72,-142.6243650590696,-122.31902342335029,104
73,-118.25677884412003,-122.75750350581181,133
74,-88.99582189232264,-117.91538986367254,68
75,-107.04307683608988,-116.82588706625853,119
76,-135.94234745954995,-113.33306823827027,62
77,-103.03189228178682,-107.32278383751911,83
78,-61.189732725601885,-106.67949565523426,74
79,-185.74636387567313,-108.42452304597712,68
80,-116.77923136657671,-109.0322382907117,85
81,-43.723904074443254,-104.31084478923388,74
82,-114.4460096661277,-103.56980477757197,78
83,-250.5511777017793,-109.69124003677936,103
84,-67.28963075672084,-109.41526909846966,104
85,-69.83814569210789,-107.3135657998229,68
86,37.45195589805334,-103.93723442562403,73
87,-131.80741395408768,-104.61284581236009,79
88,-141.6648560262595,-104.11657492778784,106
89,-84.78060411725679,-104.02197483856307,74
90,-106.00851443284141,-103.30197533673517,76
91,-99.86430884354729,-103.72377640657054,79
92,-38.12167728649645,-102.91811265362591,90
93,-132.23401112694023,-103.88676270891115,89
94,-64.67993698358869,-105.24332418712915,136
95,-51.79781618544951,-105.15474839931431,146
96,-122.55074320572658,-102.09964040217886,92
97,-85.32911887904831,-102.16615853910598,73
98,-88.34679904616755,-100.05331538185804,160
99,-55.416994576590454,-97.31419070265346,90
100,-144.56475948116747,-98.38638876064138,93
101,-29.48542501014407,-97.88267547995763,87
102,-61.77714656933229,-96.19957532926173,90
103,-93.27337681301337,-96.00248930268356,102
104,-58.08957753546801,-95.35880465382564,88
105,-123.10256434690154,-96.28909397937232,107
106,-97.0199850195245,-96.1566583164499,122
107,-115.05229402623418,-96.8838474222025,103
108,-89.76666824547127,-97.13027832667645,89
109,-70.52033052815956,-96.86921998544936,71
110,-39.97489591797918,-95.8702745522417,102
