episode,reward,running_avg,steps
0,-202.63495338340834,-202.63495338340834,74
1,-120.90169045164271,-120.90169045164271,101
2,-87.23552566171396,-87.23552566171396,78
3,-129.3010733445371,-129.3010733445371,92
4,-186.1266243029088,-186.1266243029088,123
5,-59.21290723580262,-59.21290723580262,68
6,-191.05711531108096,-191.05711531108096,94
7,-166.96482065182067,-166.96482065182067,111
8,-70.69618762609676,-70.69618762609676,125
9,-111.83036930450068,-111.83036930450068,70
10,-165.25208859850025,-165.25208859850025,86
11,-357.2222598081761,-357.2222598081761,120
12,-215.68742277080966,-215.68742277080966,88
13,-94.01832397876807,-94.01832397876807,125
14,-37.63701021559808,-37.63701021559808,71
15,-119.20946065797696,-119.20946065797696,100
16,-113.29712170394829,-113.29712170394829,119
17,-221.58518153569707,-221.58518153569707,86
18,-104.36534106914027,-104.36534106914027,71
19,-162.47425658036894,-162.47425658036894,95
20,-304.2254092434415,-304.2254092434415,106
21,-126.70800337643574,-126.70800337643574,79
22,-121.45323287371136,-121.45323287371136,91
23,-117.07685670486723,-117.07685670486723,68
24,-258.9515073952484,-258.9515073952484,129
25,-292.9418151632243,-292.9418151632243,96
26,-113.48954351130703,-113.48954351130703,65
27,-302.9014646932816,-302.9014646932816,108
28,-197.20752656036953,-197.20752656036953,97
29,-179.78844343802848,-179.78844343802848,88
30,-102.2752161405541,-102.2752161405541,128
31,-142.30343088775564,-142.30343088775564,105
32,-76.5507000065906,-76.5507000065906,83
33,-98.15661269759984,-98.15661269759984,70
34,-131.36369233592873,-131.36369233592873,169
35,-111.58218683562822,-111.58218683562822,116
36,-308.9815489417268,-308.9815489417268,137
37,-111.83311703861395,-111.83311703861395,107
38,-55.40278431674399,-55.40278431674399,99
39,-79.71133995641719,-79.71133995641719,92
40,-60.616124903430475,-60.616124903430475,59
41,-139.91068741162005,-139.91068741162005,95
42,-74.60481005627129,-74.60481005627129,119
43,-230.93350797235968,-230.93350797235968,97
44,-204.91150578861942,-204.91150578861942,76
45,-119.68824246159527,-119.68824246159527,78
46,-273.75961652524654,-273.75961652524654,113
47,-139.5979801387157,-139.5979801387157,75
48,-86.05052512250006,-86.05052512250006,82
49,-332.6121939363139,-156.2459872125329,111
50,-197.76191517007908,-156.14852644826632,101
51,-50.51918598756164,-154.7408763589847,82
52,-164.5354592557341,-156.28687503086508,60
53,-176.15840581551146,-157.22402168028458,83
54,-62.308945220441814,-154.74766809863524,110
55,-189.63142497696435,-157.35603845345847,87
56,-126.08582634618794,-156.05661267416062,116
57,-126.26213392435173,-155.24255893961123,94
58,-41.132620765363434,-154.65128760239656,101
59,-87.29646820446555,-154.16060958039583,72
60,-84.78577956866798,-152.5512833997992,76
61,-209.10286561157778,-149.58889551586722,86
62,-224.90235374194435,-149.7731941352899,114
63,-82.17710210695839,-149.53636969785373,117
64,-123.4484988471363,-151.25259947048448,129
65,-92.73091118698342,-150.72302848106463,143
66,-244.93482891596977,-153.35578262530504,80
67,-90.77176182563323,-150.73951423110378,88
68,-87.57852251973884,-150.40377786011572,61
69,-120.62527664419926,-149.56679826139234,74
70,-115.05311778205578,-145.7833524321646,116
71,-153.6525829625836,-146.32224402388758,108
72,-52.58128648156267,-144.94480509604458,144
73,-111.67003930842519,-144.83666874811573,115
74,-24.26395784279731,-140.14291775706673,73
75,-311.23485906267365,-140.50877863505576,152
76,-43.72533009117629,-139.11349436665313,72
77,-100.99121243456366,-135.07528932147878,85
78,-99.40470518850866,-133.11923289404157,103
79,-64.65665892383097,-130.81659720375765,80
80,-130.5196443528361,-131.38148576800327,124
81,-96.49602979519939,-130.46533774615216,118
82,-83.07524603221145,-130.59582866666457,83
83,-79.76992317357961,-130.22809487618417,130
84,-72.24741169522872,-129.04576926337018,84
85,-116.22483038186931,-129.138622134295,113
86,-331.85848334491595,-129.59616082235877,127
87,-76.51674908773285,-128.88983346334115,119
88,-62.55838724005335,-129.03294552180733,84
89,-86.55208718161755,-129.16976046631135,68
90,-205.1394897817299,-132.06022776387732,99
91,-147.78527875032955,-132.2177195906515,77
92,-90.4691408279974,-132.53500620608602,77
93,-113.31479521414975,-130.1826319509218,101
94,-123.82871376482612,-128.56097611044595,110
95,-39.4454178161793,-126.95611961753764,72
96,-146.51373346732257,-124.41120195637914,78
97,-11.795355663512481,-121.85514946687506,127
